[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1223035272.812000 10/3/2008, 2:01:12 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1223035272.796,,0.000000e+000,2.000478e+000,-1.745309e-006,5.595860e-010,0.000000e+000,0.000000e+000,2,9.508283e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.898999e-003,0,,0,
1223035296.171,,1.182921e+003,1.999508e+000,-2.075359e-005,6.523334e-007,0.000000e+000,0.000000e+000,2,9.422823e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,7.840872e-003,0,,0,
1223035344.218,,2.365901e+003,1.996916e+000,-4.782771e-005,6.350582e-008,0.000000e+000,0.000000e+000,2,9.839607e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,9.950876e-003,0,,0,
1223035393.609,,3.548632e+003,1.992576e+000,-7.958239e-005,3.825938e-007,0.000000e+000,0.000000e+000,2,9.882696e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.625056e-003,0,,0,
1223035455.031,,4.731800e+003,2.007036e+000,-1.135176e-004,3.875637e-007,0.000000e+000,0.000000e+000,2,9.886031e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,4.512072e-003,0,,0,
1223035519.906,,5.914750e+003,1.991462e+000,-1.486215e-004,4.044389e-007,0.000000e+000,0.000000e+000,2,9.885277e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.056049e-003,0,,0,
1223035617.296,,7.095809e+003,1.993968e+000,-1.861788e-004,1.382017e-007,0.000000e+000,0.000000e+000,2,9.873847e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.869917e-003,0,,0,
1223035648.578,,8.279486e+003,1.995866e+000,-2.248527e-004,3.621892e-007,0.000000e+000,0.000000e+000,2,9.867750e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.320477e-004,0,,0,
1223035700.359,,9.463893e+003,1.997558e+000,-2.631994e-004,1.228597e-006,0.000000e+000,0.000000e+000,2,9.867365e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.515985e-003,0,,0,
1223035728.468,,1.064393e+004,1.998680e+000,-3.027921e-004,6.971723e-007,0.000000e+000,0.000000e+000,2,9.879124e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,4.720688e-004,0,,0,
