[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1222958089.968000 10/2/2008, 4:34:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1222958089.968,,1.000000e+002,2.001253e+000,-3.026976e-006,1.252531e-008,7.701983e-002,1.922640e-003,3,9.147719e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,3.708959e-003,0,,0,
1222958366.312,,1.000000e+002,3.064670e+000,-3.395598e-006,2.059181e-008,7.889429e-002,4.922340e-004,3,9.130509e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.125321e-001,0,,0,
1222958636.718,,1.000000e+002,4.081511e+000,-3.591066e-006,1.074305e-008,8.114502e-002,1.330385e-003,3,9.130038e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.495352e-001,0,,0,
1222958844.250,,1.000000e+002,5.042830e+000,-3.732289e-006,8.002139e-009,8.000354e-002,1.129752e-003,3,9.121691e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,8.376837e-002,0,,0,
1222959091.531,,1.000000e+002,6.076933e+000,-3.835069e-006,1.237543e-008,8.065060e-002,1.076273e-003,3,9.143746e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.287580e-001,0,,0,
1222959329.406,,1.000000e+002,7.077019e+000,-3.879497e-006,4.309454e-009,8.064960e-002,1.002814e-003,3,9.136990e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.185808e-001,0,,0,
1222959563.375,,1.000000e+002,8.053967e+000,-3.919983e-006,1.885624e-008,7.860091e-002,7.251054e-004,3,9.122021e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.980202e-002,0,,0,
1222959802.750,,1.000000e+002,9.053225e+000,-3.958969e-006,9.376284e-009,7.990280e-002,1.442713e-003,3,9.127182e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.006651e-001,0,,0,
1222960043.750,,1.000000e+002,1.005454e+001,-3.981968e-006,7.324767e-009,7.845037e-002,1.027155e-003,3,9.125627e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.000795e-001,0,,0,
1222960295.359,,1.000000e+002,1.105660e+001,-4.006157e-006,1.224257e-008,8.101528e-002,3.992840e-004,3,9.160489e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.139898e-001,0,,0,
